Date,LowSpC,FullSpC
2025-12-08T11:57:01Z,80.4,77.4
2025-12-08T11:57:02Z,80.4,77.4
2025-12-08T11:57:03Z,80.4,77.7
2025-12-08T11:57:04Z,80.4,77.7
2025-12-08T11:57:05Z,80.4,77.4
2025-12-08T11:57:06Z,80.4,77.7
2025-12-08T11:57:07Z,80.4,77.4
2025-12-08T11:57:08Z,80.4,77.4
2025-12-08T11:57:09Z,80.4,77.4
2025-12-08T11:57:10Z,80.4,77.4
2025-12-08T11:57:11Z,80.4,77.4
2025-12-08T11:57:12Z,80.4,77.7
2025-12-08T11:57:13Z,80.4,77.4
2025-12-08T11:57:14Z,80.4,77.4
2025-12-08T11:57:15Z,80.4,77.4
2025-12-08T11:57:16Z,80.4,77.4
2025-12-08T11:57:17Z,80.4,77.4
2025-12-08T11:57:18Z,80.4,77.4
2025-12-08T11:57:19Z,80.5,77.7
2025-12-08T11:57:20Z,80.4,77.7
2025-12-08T11:57:21Z,80.4,77.4
2025-12-08T11:57:22Z,80.4,77.4
2025-12-08T11:57:23Z,80.4,77.4
2025-12-08T11:57:24Z,80.4,77.4
2025-12-08T11:57:25Z,80.4,77.7
2025-12-08T11:57:26Z,80.4,77.4
2025-12-08T11:57:27Z,80.4,77.4
2025-12-08T11:57:28Z,80.4,77.4
2025-12-08T11:57:29Z,80.4,77.4
2025-12-08T11:57:30Z,80.3,77.4
2025-12-08T11:57:31Z,80.3,77.8
2025-12-08T11:57:32Z,80.4,77.4
2025-12-08T11:57:33Z,80.4,77.4
2025-12-08T11:57:34Z,80.3,77.4
2025-12-08T11:57:35Z,80.4,77.4
2025-12-08T11:57:36Z,80.4,77.4
2025-12-08T11:57:37Z,80.4,77.4
2025-12-08T11:57:38Z,80.4,77.4
2025-12-08T11:57:39Z,80.4,77.4
2025-12-08T11:57:40Z,80.4,77.4
2025-12-08T11:57:41Z,80.3,77.4
2025-12-08T11:57:42Z,80.3,77.4
2025-12-08T11:57:43Z,80.4,77.7
