model,term,predictor,estimate,se,z,p,abs_estimate,rank,significant,pseudo_r2
Internal % of flux (split),z_Temperature_C,Temperature (z),-1.1046819469795366,0.44090777705249756,-2.5054716756515854,0.012228819246846758,1.1046819469795366,1,TRUE,0.1467
Internal % of flux (split),z_Mean_Annual_Precipitation_cm_yr,Mean annual precipitation (z),0.6393668027891505,0.38944627751191857,1.6417329929917828,0.10064535098939567,0.6393668027891505,2,FALSE,0.1467
Internal % of flux (split),z_pH,pH (z),-0.36891356915139245,0.376710875616468,-0.979301615722361,0.3274309723612621,0.36891356915139245,3,FALSE,0.1467
Internal % of flux (split),z_Discharge_m3s,Discharge (z),0.14897640219506667,0.30590252812885815,0.48700611631529883,0.6262539965503462,0.14897640219506667,4,FALSE,0.1467
Internal pathway flux,z_Temperature_C,Temperature (z),-0.20138502792219226,0.18352972471143938,-1.0972883451921833,0.2725153640723498,0.20138502792219226,1,FALSE,0.0367
Internal pathway flux,z_Discharge_m3s,Discharge (z),-0.14506202784701017,0.14744973295023472,-0.9838066502024088,0.3252105889178271,0.14506202784701017,2,FALSE,0.0367
Internal pathway flux,z_Mean_Annual_Precipitation_cm_yr,Mean annual precipitation (z),0.14157515263997017,0.16359843766028917,0.8653820578283873,0.38682912549592197,0.14157515263997017,3,FALSE,0.0367
Internal pathway flux,z_pH,pH (z),-0.09311413691590582,0.1472583548284642,-0.6323181935882078,0.5271789774621221,0.09311413691590582,4,FALSE,0.0367
External pathway flux,z_Temperature_C,Temperature (z),0.37568120051887904,0.2914507990296469,1.2890038447987378,0.1973967499282366,0.37568120051887904,1,FALSE,0.0247
External pathway flux,z_Discharge_m3s,Discharge (z),-0.14761349024069326,0.18736934341177813,-0.7878209292556778,0.43080145709747114,0.14761349024069326,2,FALSE,0.0247
External pathway flux,z_Mean_Annual_Precipitation_cm_yr,Mean annual precipitation (z),-0.11144509175852074,0.2536223336212846,-0.43941355702898555,0.6603619050135001,0.11144509175852074,3,FALSE,0.0247
External pathway flux,z_pH,pH (z),-0.04532777849125494,0.25139291724458396,-0.1803065058000614,0.8569119484870813,0.04532777849125494,4,FALSE,0.0247
